puzzlename,link,answer,luggage
1701,puzzlepdfs/1701.pdf,WELLS,SALVAGE
Bag Tags,puzzlepdfs/Bag Tags.pdf,DELAY,POLENTA
Binary Image,puzzlepdfs/Binary Image.pdf,FRANCE,PADLOCK
Capsule,puzzlepdfs/Capsule.pdf,INVERTPHASEREVERSETHRUSTENGAGEWARP,.  Congratulations! You have solved this metapuzzle.
Celebi,puzzlepdfs/Celebi.pdf,SMOOCHUM,MUGGLES
Chibiusa,puzzlepdfs/Chibiusa.pdf,SAILORPALLAS,EMBARGO
College Puzzle Callbox,puzzlepdfs/College Puzzle Callbox.pdf,TEMPORALRIFT,ETCHING
CPC Makes Travel History*,puzzlepdfs/CPC Makes Travel History.pdf,TRAVELLITE,. Prepuzzle: no luggage )=
Damaged Engines,puzzlepdfs/Damaged Engines.pdf,APOGEE,GENETIC
Dangers of Time Travel,puzzlepdfs/Dangers of Time Travel.pdf,GOUT,LOVEBUG
Diplo and Friends,puzzlepdfs/Diplo and Friends.pdf,THOMAS,SPANISH
Encore,puzzlepdfs/Encore.pdf,HAMILTON,OPERAND
Fishing In Time,puzzlepdfs/Fishing In Time.pdf,GANDHI,CHEERIO
Genetically Modified Organisms,puzzlepdfs/Genetically Modified Organisms.pdf,JURASSICPARK,SICKLES
Give It A Second,puzzlepdfs/Give It A Second.pdf,1.98514,RHOMBIC
Gravitons and Graviolis,puzzlepdfs/Gravitons and Graviolis.pdf,BALLOON,HUSKIES
History,puzzlepdfs/History.pdf,CANTWINTHEGAME,RETREAT
Illegal Clues,puzzlepdfs/Illegal Clues.pdf,OUTATIME,GANDALF
Jar Heads,puzzlepdfs/Jar Heads.pdf,AMERICIUM,NONSLIP
Jet Lag,puzzlepdfs/Jet Lag.pdf,TEMPOREUTIMUR,NONSTOP
Journal Logs*,puzzlepdfs/Journal Logs.pdf,NOAIRPORTCODES,. Prepuzzle: no luggage )=
Just Add Thyme,puzzlepdfs/Just Add Thyme.pdf,SCARBOROUGHFAIR,ASSUAGE
Legacy Failure,puzzlepdfs/Legacy Failure.html,TURNITOFFANDONAGAIN,TRUMPET
Loops,puzzlepdfs/Loops.pdf,GRIDIRON,CAPTURE
Now is Not the Time to Use That!,puzzlepdfs/Now is not the time to use that!.pdf,TIMECUBE,ELYSIUM
Parallel Cinemas,puzzlepdfs/Parallel Cinemas.pdf,JOSEPH,WHISPER
Portals,puzzlepdfs/Portals.pdf,UNLOCKBAGSHOPINGALLISSTILLINORDER,CAPSULE. Congratulations on solving this metapuzzle!
Reality Time Viewer,puzzlepdfs/Reality Time Viewer.pdf,BRAVO,KIRSTEN
Rewritten,puzzlepdfs/Rewritten.pdf,ACEUPTHESLEEVE,THUNDER
Sage Wisdom*,puzzlepdfs/Sage Wisdom.pdf,AKEYBOARDCAT,. Prepuzzle: no luggage )=
Search In Time,puzzlepdfs/Search In Time.pdf,TRACT,DRASTIC
The Time Traveler’s Wife,puzzlepdfs/The Time Travelers Wife.pdf,CHICKFLICK,OCEANIA
Time To Explore*,puzzlepdfs/Time To Explore1.pdf,ANCESTRY,SWEDISH
Time To Get A Watch,puzzlepdfs/Time To Get A Watch.pdf,INTERNATIONALWATCHCOMPANY,CATSPAW
Timeline,puzzlepdfs/Timeline.pdf,DURABLE,ANTIGEN
Timey Wimey Rhymey Stuff,puzzlepdfs/Timey Wimey Rhymey Stuff.pdf,BIGGIG,POLENTA
Traveling by Wo ormho oles,puzzlepdfs/Traveling by Wo ormho oles.pdf,FUTUREPHYSICS,FRACTAL
What Time Is It,puzzlepdfs/What Time Is It.pdf,SEVENTHIRTY,HOSTESS
Where In Time Is Carmen Sandiego,puzzlepdfs/Where In Time Is Carmen Sandiego.pdf,TIMETRAIL,SHEATHS
